"area";"areaBis";"areaRDB"
"6, 7, 8ab";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B";",27.6.a,27.6.a.n,27.6.a.s,27.6.b,27.7.a,27.7.b,27.7.c,27.7.e,27.7.f,27.7.g,27.7.h,27.7.j,27.7.k,27.8.a,27.8.b,"
"8c";"27_8_C";",27.8.c,"
"7a, 7f-h";"27_7_A,27_7_F,27_7_G,27_7_H";",27.7.a,27.7.f,27.7.g,27.7.h,"
"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_C,27_8_D,27_8_E,27_9_A,27_9_B,27_10,27_12,27_14";",27.5.a,27.5.b,27.5.b.1,27.5.b.2,27.6.a,27.6.a.n,27.6.a.s,27.6.b,27.7.a,27.7.b,27.7.c,27.7.e,27.7.f,27.7.g,27.7.h,27.7.j,27.7.k,27.8.a,27.8.b,27.8.c,27.8.d,27.8.e,27.9.a,27.9.b,27.9.b.1,27.9.b.2,27.10,27.10.a,27.10.b,27.12,27.14,27.14.a,27.14.b,27.14.b.1,27.14.b.2,"
"7, 8abd";"27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D";",27.7.a,27.7.b,27.7.c,27.7.e,27.7.f,27.7.g,27.7.h,27.7.j,27.7.k,27.8.a,27.8.b,27.8.d,"
"5b, 12, 14";"27_5_B,27_12,27_14";",27.5.b,27.5.b.1,27.5.b.2,27.12,27.14,27.14.a,27.14.b,27.14.b.1,27.14.b.2,"
"7, 8abd";"27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D";",27.7.b,27.7.c,27.7.e,27.7.f,27.7.g,27.7.h,27.7.j,27.7.k,27.8.a,27.8.b,27.8.d,"
"14";"27_14";",27.14,27.14.a,27.14.b,27.14.b.1,27.14.b.2,"
"5b, 6a";"27_5_B,27_6_A";",27.5.b,27.5.b.1,27.5.b.2,27.6.a,27.6.a.n,27.6.a.s,"
"6b, 12, 14";"27_6_B,27_12,27_14";",27.6.b,27.12,27.14,27.14.a,27.14.b,27.14.b.1,27.14.b.2,"
"7b-k, 8, 9, 10";"27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10";",27.7.b,27.7.c,27.7.e,27.7.f,27.7.g,27.7.h,27.7.j,27.7.k,27.8.a,27.8.b,27.8.c,27.8.d,27.8.e,27.9.a,27.9.b,27.9.b.1,27.9.b.2,27.10,27.10.a,27.10.b,"
"8, 9, 10 ";"27_8,27_9,27_10";",27.8.a,27.8.b,27.8.c,27.8.d,27.8.e,27.9.a,27.9.b,27.9.b.1,27.9.b.2,27.10,27.10.a,27.10.b,"
"5b, 6, 12, 14";"27_5_B,27_6,27_12,27_14";",27.5.b,27.5.b.1,27.5.b.2,27.6.a,27.6.a.n,27.6.a.s,27.6.b,27.12,27.14,27.14.a,27.14.b,27.14.b.1,27.14.b.2,"
"7a";"27_6_A";",27.6.a,27.6.a.n,27.6.a.s,"
"7b-k";"27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K";",27.7.b,27.7.c,27.7.e,27.7.f,27.7.g,27.7.h,27.7.j,27.7.k,"
"5b, 6, 7, 12, 14";"27_5_B,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_12,27_14";",27.5.b,27.5.b.1,27.5.b.2,27.6.a,27.6.a.n,27.6.a.s,27.6.b,27.7.a,27.7.b,27.7.c,27.7.e,27.7.f,27.7.g,27.7.h,27.7.j,27.7.k,27.12,27.14,27.14.a,27.14.b,27.14.b.1,27.14.b.2,"
"8abde";"27_8_A,27_8_B,27_8_D,27_8_E";",27.8.a,27.8.b,27.8.d,27.8.e,"
"8c, 9, 10";"27_8_C,27_9,27_10";",27.8.c,27.9.a,27.9.b,27.9.b.1,27.9.b.2,27.10,27.10.a,27.10.b,"
"1-9, 12, 14";"27_1,27_2,27_3,27_4,27_5,27_6,27_7,27_8,27_9,27_12,27_14";",27.1,27.2,27.2.a,27.2.a.1,27.2.a.2,27.2.b,27.2.b.2,27.3,27.4,27.4.a,27.4.b,27.4.c,27.5.a,27.5.b,27.5.b.1,27.5.b.2,27.6.a,27.6.a.n,27.6.a.s,27.6.b,27.7.a,27.7.b,27.7.c,27.7.d,27.7.e,27.7.f,27.7.g,27.7.h,27.7.j,27.7.k,27.8.a,27.8.b,27.8.c,27.8.d,27.8.e,27.9.a,27.9.b,27.9.b.1,27.9.b.2,27.12,27.14,27.14.a,27.14.b,27.14.b.1,27.14.b.2,"
"12 international waters";"27_12";",27.12,"
"10";"27_10";",27.10,27.10.a,27.10.b,"
"5";"27_5";",27.5.a,27.5.b,27.5.b.1,27.5.b.2,"
"6-14";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";",27.6.a,27.6.a.n,27.6.a.s,27.6.b,27.7.a,27.7.b,27.7.c,27.7.e,27.7.f,27.7.g,27.7.h,27.7.j,27.7.k,27.8.a,27.8.b,27.8.c,27.8.d,27.8.e,27.9.a,27.9.b,27.9.b.1,27.9.b.2,27.10,27.10.a,27.10.b,27.12,27.14,27.14.a,27.14.b,27.14.b.1,27.14.b.2,"
"6, 7, 8, 9";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9";",27.6.a,27.6.a.n,27.6.a.s,27.6.b,27.7.a,27.7.b,27.7.c,27.7.e,27.7.f,27.7.g,27.7.h,27.7.j,27.7.k,27.8.a,27.8.b,27.8.c,27.8.d,27.8.e,27.9.a,27.9.b,27.9.b.1,27.9.b.2,"
"5-10, 12, 14";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8,27_9,27_7_K,27_10,27_12,27_14";",27.5.a,27.5.b,27.5.b.1,27.5.b.2,27.6.a,27.6.a.n,27.6.a.s,27.6.b,27.7.a,27.7.b,27.7.c,27.7.e,27.7.f,27.7.g,27.7.h,27.7.j,27.8.a,27.8.b,27.8.c,27.8.d,27.8.e,27.9.a,27.9.b,27.9.b.1,27.9.b.2,27.7.k,27.10,27.10.a,27.10.b,27.12,27.14,27.14.a,27.14.b,27.14.b.1,27.14.b.2,"
"5b, 6";"27_5_B,27_6";",27.5.b,27.5.b.1,27.5.b.2,27.6.a,27.6.a.n,27.6.a.s,27.6.b,"
"7";"27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K";",27.7.a,27.7.b,27.7.c,27.7.e,27.7.f,27.7.g,27.7.h,27.7.j,27.7.k,"
"9";"27_9";",27.9.a,27.9.b,27.9.b.1,27.9.b.2,"
"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D,27_8_C,27_8_E,27_9_A,27_9_B,27_10,27_12,27_14";",27.5.a,27.5.b,27.5.b.1,27.5.b.2,27.6.a,27.6.a.n,27.6.a.s,27.6.b,27.7.a,27.7.b,27.7.c,27.7.e,27.7.f,27.7.g,27.7.h,27.7.j,27.7.k,27.8.a,27.8.b,27.8.d,27.8.c,27.8.e,27.9.a,27.9.b,27.9.b.1,27.9.b.2,27.10,27.10.a,27.10.b,27.12,27.14,27.14.a,27.14.b,27.14.b.1,27.14.b.2,"
"6, 7";"27_6,27_7_E,27_7_A,27_7_B,27_7_C,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K";",27.6.a,27.6.a.n,27.6.a.s,27.6.b,27.7.e,27.7.a,27.7.b,27.7.c,27.7.f,27.7.g,27.7.h,27.7.j,27.7.k,"
